Entity,Code,Year,Productivity: output per hour worked
New Zealand,NZL,1970,20.520288
New Zealand,NZL,1971,20.98911
New Zealand,NZL,1972,22.061644
New Zealand,NZL,1973,23.366339
New Zealand,NZL,1974,23.290552
New Zealand,NZL,1975,22.472792
New Zealand,NZL,1976,22.941683
New Zealand,NZL,1977,21.932146
New Zealand,NZL,1978,20.57688
New Zealand,NZL,1979,20.463825
New Zealand,NZL,1980,20.61603
New Zealand,NZL,1981,21.855492
New Zealand,NZL,1982,21.809278
New Zealand,NZL,1983,22.566324
New Zealand,NZL,1984,23.590374
New Zealand,NZL,1985,22.587145
New Zealand,NZL,1986,24.02335
New Zealand,NZL,1987,24.90125
New Zealand,NZL,1988,27.004423
New Zealand,NZL,1989,28.208313
New Zealand,NZL,1990,28.456034
New Zealand,NZL,1991,28.466188
New Zealand,NZL,1992,28.873158
New Zealand,NZL,1993,29.425865
New Zealand,NZL,1994,30.06471
New Zealand,NZL,1995,30.408707
New Zealand,NZL,1996,31.179928
New Zealand,NZL,1997,32.43919
New Zealand,NZL,1998,33.185
New Zealand,NZL,1999,34.4251
New Zealand,NZL,2000,34.19455
New Zealand,NZL,2001,34.61917
New Zealand,NZL,2002,34.656883
New Zealand,NZL,2003,35.050877
New Zealand,NZL,2004,33.844494
New Zealand,NZL,2005,34.581734
New Zealand,NZL,2006,34.55735
New Zealand,NZL,2007,36.66018
New Zealand,NZL,2008,37.040737
New Zealand,NZL,2009,38.593353
New Zealand,NZL,2010,39.632904
New Zealand,NZL,2011,41.13166
New Zealand,NZL,2012,41.361797
New Zealand,NZL,2013,41.392303
New Zealand,NZL,2014,41.358177
New Zealand,NZL,2015,41.29625
New Zealand,NZL,2016,42.350384
New Zealand,NZL,2017,42.7376
New Zealand,NZL,2018,42.714916
New Zealand,NZL,2019,44.547375
Norway,NOR,1950,9.907662
Norway,NOR,1951,10.469594
Norway,NOR,1952,11.026875
Norway,NOR,1953,11.60994
Norway,NOR,1954,11.953661
Norway,NOR,1955,12.385934
Norway,NOR,1956,12.9130535
Norway,NOR,1957,13.583911
Norway,NOR,1958,13.69358
Norway,NOR,1959,14.12929
Norway,NOR,1960,14.403861
Norway,NOR,1961,15.121853
Norway,NOR,1962,15.429263
Norway,NOR,1963,15.964842
Norway,NOR,1964,16.813877
Norway,NOR,1965,17.995508
Norway,NOR,1966,18.55077
Norway,NOR,1967,19.760601
Norway,NOR,1968,20.903234
Norway,NOR,1969,22.103846
Norway,NOR,1970,17.760332
Norway,NOR,1971,19.209253
Norway,NOR,1972,21.406303
Norway,NOR,1973,22.084812
Norway,NOR,1974,23.943645
Norway,NOR,1975,26.599808
Norway,NOR,1976,29.84158
Norway,NOR,1977,30.629992
Norway,NOR,1978,33.34545
Norway,NOR,1979,35.46178
Norway,NOR,1980,36.85388
Norway,NOR,1981,36.93323
Norway,NOR,1982,36.815235
Norway,NOR,1983,38.781002
Norway,NOR,1984,40.94229
Norway,NOR,1985,40.305424
